id,name,date,diameter_min_km,diameter_max_km,hazardous,velocity_km_s,miss_distance_km
3648203,(2013 RZ73),2026-03-13,0.1677084622,0.3750075218,True,20.0592269255,10497458.794110434
3731680,(2015 UK),2026-03-13,0.0139493823,0.0311917671,False,14.2323949321,19634298.64630553
3769881,(2017 DV35),2026-03-13,0.0096506147,0.0215794305,False,10.2367746388,30434483.764946904
3802409,(2018 GY),2026-03-13,0.0287445144,0.0642746882,False,15.2808488971,26470824.48556407
3878603,(2019 TC4),2026-03-13,0.0552783379,0.1236061213,False,10.9324029135,64188714.74692646
3414400,(2008 MQ1),2026-03-21,0.0384197891,0.0859092601,False,5.1240927475,62685677.31630987
3648644,(2013 SK20),2026-03-21,0.0088014652,0.0196806745,False,13.6389223707,11745827.438024664
3661496,(2014 CH13),2026-03-21,0.0308003021,0.0688715693,False,4.1054649236,10788646.754606564
3713307,(2015 EP7),2026-03-21,0.0921626549,0.2060819612,False,10.1291792436,71840570.25050211
3772982,(2017 FP101),2026-03-21,0.0305179233,0.0682401509,False,12.4705101097,47055349.055190764
3781457,(2017 RR15),2026-03-21,0.1925550782,0.4305662442,True,11.8603302145,22815405.977476537
3546367,(2010 RA91),2026-03-22,0.0508809225,0.1137732014,False,9.887867064,1796116.517626538
3712947,(2015 EQ),2026-03-22,0.0160160338,0.0358129403,False,16.2815087358,27575878.17554107
3733861,(2015 VT64),2026-03-22,0.0167708462,0.0375007522,False,15.515158144,69226706.19298458
3836962,(2018 YU),2026-03-22,0.2670268771,0.5970902489,False,10.4949024382,21132883.50575859
2248590,248590 (2006 CS),2026-03-20,1.4878357048,3.3269017752,False,33.4457425253,23591910.192437027
3472698,(2009 UX87),2026-03-20,0.0231502122,0.0517654482,False,13.9150928814,60006755.31429846
3713306,(2015 EO7),2026-03-20,0.0201629919,0.0450858206,False,4.4921060589,21065927.70284674
3835874,(2018 VD),2026-03-20,0.0101054342,0.0225964377,False,18.6770385432,26507510.37122417
3989355,(2020 CB),2026-03-20,0.0076657557,0.0171411509,False,7.2271891228,39120909.81733055
54049855,(2020 OB6),2026-03-20,0.0278326768,0.0622357573,False,4.1098429458,10798198.623485424
3256319,(2004 TB10),2026-03-18,0.1332155667,0.2978790628,True,17.2828825237,69328739.73437361
3703545,(2015 AJ44),2026-03-18,0.0880146521,0.1968067451,False,15.9170977702,16216668.271349989
3748418,(2016 FL12),2026-03-18,0.0146067964,0.0326617897,False,17.2877966834,62248817.0984802
3771018,(2017 EZ2),2026-03-18,0.0253837029,0.0567596853,False,12.5864772253,41144422.90636589
3054338,(2000 SZ162),2026-03-19,0.0092162655,0.0206081961,False,5.915807471,30699479.60677089
3655975,(2014 AF51),2026-03-19,0.2072788434,0.4634895841,True,8.942127028,17440362.212666843
3788080,(2017 UN7),2026-03-19,0.0192555078,0.0430566244,False,4.8728168866,39127087.3416939
3789225,(2017 VR12),2026-03-19,0.1961349444,0.4385710684,True,6.4447591411,8006665.209174518
2394392,394392 (2007 EP88),2026-03-16,0.5630603897,1.2590413069,False,34.0299797861,27729186.43175196
3602500,(2012 GP1),2026-03-16,0.0152951935,0.0342010925,False,15.0245280749,53210851.62473483
3710916,(2015 DD1),2026-03-16,0.0022108281,0.0049435619,False,17.1772473497,51505408.81456057
3736412,(2015 XX169),2026-03-16,0.0088014652,0.0196806745,False,5.9552044984,31707251.34274495
3748365,(2016 FF12),2026-03-16,0.0152951935,0.0342010925,False,10.4898090883,27293261.4100468
54606465,(2026 FM),2026-03-16,0.0076869663,0.0171885792,False,4.6983008301,1138333.785649318
3321495,(2006 CW),2026-03-17,0.0817626533,0.1828268509,False,6.6556054552,28142901.151371185
3735181,(2015 VO142),2026-03-17,0.004411182,0.0098637028,False,3.0926228754,1034242.001965896
3739247,(2016 AB9),2026-03-17,0.0305179233,0.0682401509,False,3.4212122518,30930860.193854608
3752009,(2016 GT221),2026-03-17,0.058150704,0.130028927,False,7.6419736599,32892828.689252388
3757410,(2016 PA40),2026-03-17,0.0336166921,0.0751692087,False,9.4981205483,15798855.482639767
3766128,(2016 YK4),2026-03-17,0.0160160338,0.0358129403,False,9.0517741479,28244148.346516345
3774381,(2017 HS49),2026-03-17,0.0649463841,0.1452245297,False,13.954327907,60449552.09920228
3584577,(2011 UY255),2026-03-30,0.0680072129,0.1520687509,False,21.3150427744,71729271.30519548
3761647,(2016 UY35),2026-03-30,0.0305179233,0.0682401509,False,11.7215288407,33494735.779036537
3515692,(2010 GD35),2026-03-29,0.0316632126,0.0708010957,False,13.964854448,12123680.735764936
3715092,(2015 FW284),2026-03-29,0.0278326768,0.0622357573,False,20.6614402497,27184487.347670466
3771582,(2017 FN),2026-03-29,0.0840533402,0.1879489824,False,11.0449688401,71043737.3156254
3797752,(2018 BU1),2026-03-29,0.0319561887,0.0714562102,False,9.2039869756,25070596.65024692
3841184,(2019 GW19),2026-03-29,0.096506147,0.2157943048,False,16.7130882262,59761448.45205943
3986735,(2020 BS),2026-03-29,0.0069912523,0.0156329154,False,4.6781595637,52020205.51343732
3467709,(2009 SW19),2026-03-27,0.3180936332,0.7112789871,False,34.4175437105,18277136.37261357
3633188,(2013 FW13),2026-03-27,0.1231841913,0.2754482254,True,19.7564637028,25685773.35533602
3666685,(2014 FO38),2026-03-27,0.0142743051,0.0319183166,False,20.1384864144,52960371.83270884
3878616,(2019 TH5),2026-03-27,0.0305179233,0.0682401509,False,10.9253300958,65094531.5252726
3989190,(2020 BL8),2026-03-27,0.0191670368,0.0428587972,False,11.4238122509,39722840.66325645
3306408,(2005 XY4),2026-03-28,0.0530340723,0.1185877909,False,16.3278497408,16402683.43899429
3409707,(2008 HU4),2026-03-28,0.0058150704,0.0130028927,False,4.6996847458,19274105.60151557
3710920,(2015 DS53),2026-03-28,0.0384197891,0.0859092601,False,8.3126736943,35831300.87142404
3749034,(2016 GN2),2026-03-28,0.02658,0.0594346868,False,5.9343191657,15374907.849838505
3752457,(2016 HP6),2026-03-28,0.022108281,0.0494356193,False,16.1118453466,53555909.25462541
54606301,(2026 EG2),2026-03-28,0.0540698266,0.1209038078,False,16.3684340349,16438174.097512238
3430307,(2008 TA4),2026-03-25,0.0253837029,0.0567596853,False,8.5737337302,19202516.273856632
3634612,(2013 GH66),2026-03-25,0.0066765941,0.0149293183,False,13.7193431638,62805113.56295621
3773594,(2017 FN127),2026-03-25,0.0201629919,0.0450858206,False,21.6255979248,64463934.00246774
3840865,(2019 GL4),2026-03-25,0.063760979,0.1425738833,False,14.188515934,46349992.61481612
3878564,(2019 TP1),2026-03-25,0.1543671822,0.3451755128,True,13.513701712,22798573.18026478
3748280,(2016 FB4),2026-03-26,0.1058168859,0.2366137501,False,26.8168643432,74615501.35303956
3838930,(2019 EA2),2026-03-26,0.0183888672,0.0411187571,False,13.8756622899,44272088.552688725
3114029,(2002 AR129),2026-03-24,0.7665755735,1.7141150923,False,15.2152398925,57377548.57403266
3757291,(2016 PH38),2026-03-24,0.2016299194,0.4508582062,False,26.2951702551,70537279.71065521
3778658,(2017 OO19),2026-03-24,0.0552783379,0.1236061213,False,6.9270415355,17994669.399466533
